Date,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4,utc_time,local_time
2025-01-16 20:31:29.151750,321.999,False,2.538338,6.9e-05,0.0,0.0,2025-01-16 20:37:25.181584,2025-01-16 15:37:25.181584
2025-01-16 20:31:29.151775,321.999,True,1.037397,1.071894,1.106322,1.098542,2025-01-16 20:37:25.181609,2025-01-16 15:37:25.181609
2025-01-16 20:31:30.151775,322.999,False,2.820375,6.9e-05,0.0,0.0,2025-01-16 20:37:26.181609,2025-01-16 15:37:26.181609
2025-01-16 20:31:30.151775,322.999,True,1.037397,1.071619,1.106322,1.09861,2025-01-16 20:37:26.181609,2025-01-16 15:37:26.181609
2025-01-16 20:31:31.151775,323.999,False,3.102412,6.9e-05,0.0,0.0,2025-01-16 20:37:27.181609,2025-01-16 15:37:27.181609
2025-01-16 20:31:31.151775,323.999,True,1.037672,1.071825,1.106322,1.098542,2025-01-16 20:37:27.181609,2025-01-16 15:37:27.181609
2025-01-16 20:31:32.151775,324.999,False,0.210564,6.9e-05,0.0,0.0,2025-01-16 20:37:28.181609,2025-01-16 15:37:28.181609
2025-01-16 20:31:32.151775,324.999,True,1.037397,1.071825,1.106322,1.098335,2025-01-16 20:37:28.181609,2025-01-16 15:37:28.181609
2025-01-16 20:31:33.151775,325.999,False,0.285825,6.9e-05,0.0,0.0,2025-01-16 20:37:29.181609,2025-01-16 15:37:29.181609
2025-01-16 20:31:33.151800,325.999,True,1.037672,1.071687,1.10646,1.09861,2025-01-16 20:37:29.181634,2025-01-16 15:37:29.181634
2025-01-16 20:31:34.151750,326.999,False,0.757907,6.9e-05,0.0,0.0,2025-01-16 20:37:30.181584,2025-01-16 15:37:30.181584
2025-01-16 20:31:34.151775,326.999,True,1.037603,1.071825,1.106185,1.09861,2025-01-16 20:37:30.181609,2025-01-16 15:37:30.181609
2025-01-16 20:31:35.151775,327.999,False,1.038912,6.9e-05,0.0,0.0,2025-01-16 20:37:31.181609,2025-01-16 15:37:31.181609
2025-01-16 20:31:35.151775,327.999,True,1.037397,1.07155,1.106391,1.098404,2025-01-16 20:37:31.181609,2025-01-16 15:37:31.181609
2025-01-16 20:31:36.151900,328.999,False,1.195905,6.9e-05,0.0,0.0,2025-01-16 20:37:32.181734,2025-01-16 15:37:32.181734
2025-01-16 20:31:36.151925,328.999,True,1.037259,1.07155,1.106322,1.098473,2025-01-16 20:37:32.181759,2025-01-16 15:37:32.181759
2025-01-16 20:31:37.151800,329.999,False,1.419345,6.9e-05,0.0,0.0,2025-01-16 20:37:33.181634,2025-01-16 15:37:33.181634
2025-01-16 20:31:37.151825,329.999,True,1.037534,1.071687,1.106047,1.098404,2025-01-16 20:37:33.181659,2025-01-16 15:37:33.181659
2025-01-16 20:31:38.151750,330.999,False,1.718873,6.9e-05,0.0,0.0,2025-01-16 20:37:34.181584,2025-01-16 15:37:34.181584
2025-01-16 20:31:38.151775,330.999,True,1.037534,1.071687,1.106185,1.098473,2025-01-16 20:37:34.181609,2025-01-16 15:37:34.181609
2025-01-16 20:31:39.151775,331.999,False,1.974538,6.9e-05,0.0,0.0,2025-01-16 20:37:35.181609,2025-01-16 15:37:35.181609
2025-01-16 20:31:39.151775,331.999,True,1.037466,1.07155,1.106185,1.098404,2025-01-16 20:37:35.181609,2025-01-16 15:37:35.181609
2025-01-16 20:31:40.151750,332.999,False,2.303949,6.9e-05,0.0,0.0,2025-01-16 20:37:36.181584,2025-01-16 15:37:36.181584
