Date,TimeStamp,HK_id,PinPullerTemp,OpticsTemp,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused1,Unused2,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostEvntCount,utc_time,local_time
2025-01-16 20:31:08.152225,300.999,0.0,63.90260742187501,,,,,,,,,,,,,,,,1.0,0.0,0.0,2025-01-16 20:37:04.182059,2025-01-16 15:37:04.182059
2025-01-16 20:31:09.151800,301.999,1.0,63.90260742187501,-266.9406005859375,,,,,,,,,,,,,,,1.0,0.0,0.0,2025-01-16 20:37:05.181634,2025-01-16 15:37:05.181634
2025-01-16 20:31:10.151825,302.999,2.0,63.90260742187501,-266.9406005859375,37.13107910156248,,,,,,,,,,,,,,1.0,0.0,0.0,2025-01-16 20:37:06.181659,2025-01-16 15:37:06.181659
2025-01-16 20:31:11.152075,303.999,3.0,63.90260742187501,-266.9406005859375,37.13107910156248,35.36834472656252,,,,,,,,,,,,,1.0,0.0,0.0,2025-01-16 20:37:07.181909,2025-01-16 15:37:07.181909
2025-01-16 20:31:12.151725,304.999,4.0,63.90260742187501,-266.9406005859375,37.13107910156248,35.36834472656252,60.104345703125006,,,,,,,,,,,,1.0,0.0,0.0,2025-01-16 20:37:08.181559,2025-01-16 15:37:08.181559
2025-01-16 20:31:13.151750,305.999,5.0,63.90260742187501,-266.9406005859375,37.13107910156248,35.36834472656252,60.104345703125006,0.146527294921875,,,,,,,,,,,1.0,0.0,0.0,2025-01-16 20:37:09.181584,2025-01-16 15:37:09.181584
2025-01-16 20:31:14.151800,306.999,6.0,63.90260742187501,-266.9406005859375,37.13107910156248,35.36834472656252,60.104345703125006,0.146527294921875,48.52257890359763,,,,,,,,,,1.0,0.0,0.0,2025-01-16 20:37:10.181634,2025-01-16 15:37:10.181634
2025-01-16 20:31:15.151800,307.999,7.0,63.90260742187501,-266.9406005859375,37.13107910156248,35.36834472656252,60.104345703125006,0.146527294921875,48.52257890359763,0.0044068359375,,,,,,,,,1.0,0.0,0.0,2025-01-16 20:37:11.181634,2025-01-16 15:37:11.181634
2025-01-16 20:31:16.151750,308.999,8.0,63.90260742187501,-266.9406005859375,37.13107910156248,35.36834472656252,60.104345703125006,0.146527294921875,48.52257890359763,0.0044068359375,43.21968573630852,,,,,,,,1.0,0.0,0.0,2025-01-16 20:37:12.181584,2025-01-16 15:37:12.181584
2025-01-16 20:31:17.151725,309.999,9.0,63.90260742187501,-266.9406005859375,37.13107910156248,35.36834472656252,60.104345703125006,0.146527294921875,48.52257890359763,0.0044068359375,43.21968573630852,0.0,,,,,,,1.0,0.0,0.0,2025-01-16 20:37:13.181559,2025-01-16 15:37:13.181559
2025-01-16 20:31:18.151750,310.999,10.0,63.90260742187501,-266.9406005859375,37.13107910156248,35.36834472656252,60.104345703125006,0.146527294921875,48.52257890359763,0.0044068359375,43.21968573630852,0.0,0.0,,,,,,1.0,0.0,0.0,2025-01-16 20:37:14.181584,2025-01-16 15:37:14.181584
2025-01-16 20:31:19.151750,311.999,11.0,63.90260742187501,-266.9406005859375,37.13107910156248,35.36834472656252,60.104345703125006,0.146527294921875,48.52257890359763,0.0044068359375,43.21968573630852,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2025-01-16 20:37:15.181584,2025-01-16 15:37:15.181584
2025-01-16 20:31:20.151775,312.999,0.0,63.90260742187501,-266.9406005859375,37.13107910156248,35.36834472656252,60.104345703125006,0.146527294921875,48.52257890359763,0.0044068359375,43.21968573630852,0.0,0.0,0.0,,,,,1.0,0.0,0.0,2025-01-16 20:37:16.181609,2025-01-16 15:37:16.181609
