Date,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4
2025-01-19 18:30:06.066800,32.999,True,1.041115,1.074373,1.109972,1.102122
2025-01-19 18:30:07.066825,33.999,False,2.538338,6.9e-05,0.0,0.0
2025-01-19 18:30:07.066850,33.999,True,1.041115,1.074442,1.109765,1.101984
2025-01-19 18:30:08.066725,34.999,False,2.820375,6.9e-05,0.0,0.0
2025-01-19 18:30:08.066750,34.999,True,1.041253,1.074235,1.109972,1.102053
2025-01-19 18:30:09.066775,35.999,False,3.102412,6.9e-05,0.0,0.0
2025-01-19 18:30:09.066775,35.999,True,1.041115,1.074166,1.110041,1.101916
2025-01-19 18:30:10.066900,36.999,False,0.211597,6.9e-05,0.0,0.0
2025-01-19 18:30:10.066900,36.999,True,1.041115,1.074166,1.109834,1.102053
2025-01-19 18:30:11.066925,37.999,False,0.285618,6.9e-05,0.0,0.0
2025-01-19 18:30:11.066975,37.999,True,1.040908,1.074097,1.109972,1.101847
2025-01-19 18:30:12.066800,38.999,False,0.757494,6.9e-05,0.0,0.0
2025-01-19 18:30:12.066825,38.999,True,1.040977,1.074304,1.109696,1.101847
2025-01-19 18:30:13.066825,39.999,False,1.038361,6.9e-05,0.0,0.0
2025-01-19 18:30:13.066875,39.999,True,1.040908,1.074235,1.109628,1.101778
2025-01-19 18:30:14.066800,40.999,False,1.195492,6.9e-05,0.0,0.0
2025-01-19 18:30:14.066825,40.999,True,1.041046,1.074097,1.10949,1.101847
2025-01-19 18:30:15.066775,41.999,False,1.419277,6.9e-05,0.0,0.0
2025-01-19 18:30:15.066800,41.999,True,1.041046,1.074097,1.109765,1.101916
2025-01-19 18:30:16.066850,42.999,False,1.718735,6.9e-05,0.0,0.0
2025-01-19 18:30:16.066900,42.999,True,1.040908,1.07396,1.109696,1.101847
2025-01-19 18:30:17.066775,43.999,False,1.974538,6.9e-05,0.0,0.0
2025-01-19 18:30:17.066800,43.999,True,1.040908,1.073891,1.109696,1.101916
